timestamp,accelerometer_X,accelerometer_Y,accelerometer_Z,gyroscope_X,gyroscope_Y,gyroscope_Z
2020-09-20 23:26:41.953180,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01
2020-09-20 23:26:43.892551,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01
2020-09-20 23:26:45.905631,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01
2020-09-20 23:26:47.906413,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01
2020-09-20 23:26:49.894551,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01
2020-09-20 23:26:51.896948,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01
2020-09-20 23:26:53.895052,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01
2020-09-20 23:26:55.896255,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01
2020-09-20 23:26:57.895174,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01
2020-09-20 23:26:59.894743,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01
2020-09-20 23:27:01.892516,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01
2020-09-20 23:27:03.905684,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01
2020-09-20 23:27:06.089525,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01
2020-09-20 23:27:07.915467,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01
2020-09-20 23:27:09.947959,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01
2020-09-20 23:27:11.895715,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01
2020-09-20 23:27:13.902559,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01
